"Station","Annee","RR - Precipitation","Lat","Long","Alti"
"Prapoutel Pipay","1950","-Inf",NA,NA,NA
"Prapoutel Pipay","1951","-Inf",NA,NA,NA
"Prapoutel Pipay","1952","-Inf",NA,NA,NA
"Prapoutel Pipay","1953","-Inf",NA,NA,NA
"Prapoutel Pipay","1954","-Inf",NA,NA,NA
"Prapoutel Pipay","1955","-Inf",NA,NA,NA
"Prapoutel Pipay","1956","-Inf",NA,NA,NA
"Prapoutel Pipay","1957","-Inf",NA,NA,NA
"Prapoutel Pipay","1958","-Inf",NA,NA,NA
"Prapoutel Pipay","1959","-Inf",NA,NA,NA
"Prapoutel Pipay","1960","-Inf",NA,NA,NA
"Prapoutel Pipay","1961","-Inf",NA,NA,NA
"Prapoutel Pipay","1962","-Inf",NA,NA,NA
"Prapoutel Pipay","1963","-Inf",NA,NA,NA
"Prapoutel Pipay","1964","-Inf",NA,NA,NA
"Prapoutel Pipay","1965","-Inf",NA,NA,NA
"Prapoutel Pipay","1966","-Inf",NA,NA,NA
"Prapoutel Pipay","1967","-Inf",NA,NA,NA
"Prapoutel Pipay","1968","-Inf",NA,NA,NA
"Prapoutel Pipay","1969","-Inf",NA,NA,NA
"Prapoutel Pipay","1970","-Inf",NA,NA,NA
"Prapoutel Pipay","1971","-Inf",NA,NA,NA
"Prapoutel Pipay","1972","55",NA,NA,NA
"Prapoutel Pipay","1973","25",NA,NA,NA
"Prapoutel Pipay","1974","30",NA,NA,NA
"Prapoutel Pipay","1975","37",NA,NA,NA
"Prapoutel Pipay","1976","24",NA,NA,NA
"Prapoutel Pipay","1977","9",NA,NA,NA
"Prapoutel Pipay","1978","62",NA,NA,NA
"Prapoutel Pipay","1979","24",NA,NA,NA
"Prapoutel Pipay","1980","26",NA,NA,NA
"Prapoutel Pipay","1981","32",NA,NA,NA
"Prapoutel Pipay","1982","33",NA,NA,NA
"Prapoutel Pipay","1983","38",NA,NA,NA
"Prapoutel Pipay","1984","0",NA,NA,NA
"Prapoutel Pipay","1985","40",NA,NA,NA
"Prapoutel Pipay","1986","33",NA,NA,NA
"Prapoutel Pipay","1987","39",NA,NA,NA
"Prapoutel Pipay","1988","39",NA,NA,NA
"Prapoutel Pipay","1989","25",NA,NA,NA
"Prapoutel Pipay","1990","-Inf",NA,NA,NA
"Prapoutel Pipay","1991","6",NA,NA,NA
"Prapoutel Pipay","1992","-Inf",NA,NA,NA
"Prapoutel Pipay","1993","44",NA,NA,NA
"Prapoutel Pipay","1994","32",NA,NA,NA
"Prapoutel Pipay","1995","-Inf",NA,NA,NA
"Prapoutel Pipay","1996","-Inf",NA,NA,NA
