"Station","Annee","RR...Precipitation","Lat","Long","Alti"
"Prapoutel Pipay",1950,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1951,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1952,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1953,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1954,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1955,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1956,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1957,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1958,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1959,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1960,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1961,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1962,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1963,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1964,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1965,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1966,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1967,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1968,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1969,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1970,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1971,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1972,"55",45.25,5.98,1345
"Prapoutel Pipay",1973,"25",45.25,5.98,1345
"Prapoutel Pipay",1974,"30",45.25,5.98,1345
"Prapoutel Pipay",1975,"37",45.25,5.98,1345
"Prapoutel Pipay",1976,"24",45.25,5.98,1345
"Prapoutel Pipay",1977,"9",45.25,5.98,1345
"Prapoutel Pipay",1978,"62",45.25,5.98,1345
"Prapoutel Pipay",1979,"24",45.25,5.98,1345
"Prapoutel Pipay",1980,"26",45.25,5.98,1345
"Prapoutel Pipay",1981,"32",45.25,5.98,1345
"Prapoutel Pipay",1982,"33",45.25,5.98,1345
"Prapoutel Pipay",1983,"38",45.25,5.98,1345
"Prapoutel Pipay",1984,"0",45.25,5.98,1345
"Prapoutel Pipay",1985,"40",45.25,5.98,1345
"Prapoutel Pipay",1986,"33",45.25,5.98,1345
"Prapoutel Pipay",1987,"39",45.25,5.98,1345
"Prapoutel Pipay",1988,"39",45.25,5.98,1345
"Prapoutel Pipay",1989,"25",45.25,5.98,1345
"Prapoutel Pipay",1990,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1991,"6",45.25,5.98,1345
"Prapoutel Pipay",1992,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1993,"44",45.25,5.98,1345
"Prapoutel Pipay",1994,"32",45.25,5.98,1345
"Prapoutel Pipay",1995,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1996,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1997,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1998,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",1999,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2000,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2001,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2002,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2003,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2004,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2005,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2006,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2007,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2008,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2009,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2010,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2011,"-Inf",45.25,5.98,1345
"Prapoutel Pipay",2012,"-Inf",45.25,5.98,1345
