"NOM","ANNEE","PLUIE"
"REVENTIN",1950,115.5
"REVENTIN",1951,48.5
"REVENTIN",1952,26.1
"REVENTIN",1953,NA
"REVENTIN",1954,NA
"REVENTIN",1955,NA
"REVENTIN",1956,NA
"REVENTIN",1957,NA
"REVENTIN",1958,NA
"REVENTIN",1959,58
"REVENTIN",1960,122
"REVENTIN",1961,50
"REVENTIN",1962,42
"REVENTIN",1963,36
"REVENTIN",1964,32
"REVENTIN",1965,46
"REVENTIN",1966,37.4
"REVENTIN",1967,57
"REVENTIN",1968,62.5
"REVENTIN",1969,52
"REVENTIN",1970,88
"REVENTIN",1971,50.5
"REVENTIN",1972,56
"REVENTIN",1973,66
"REVENTIN",1974,45.2
"REVENTIN",1975,45
"REVENTIN",1976,67
"REVENTIN",1977,54
"REVENTIN",1978,46.5
"REVENTIN",1979,66.6
"REVENTIN",1980,61.3
"REVENTIN",1981,62.5
"REVENTIN",1982,72
"REVENTIN",1983,47.5
"REVENTIN",1984,42.8
"REVENTIN",1985,50
"REVENTIN",1986,40
"REVENTIN",1987,56
"REVENTIN",1988,97.5
"REVENTIN",1989,62
"REVENTIN",1990,35
"REVENTIN",1991,80
"REVENTIN",1992,68
"REVENTIN",1993,65
"REVENTIN",1994,65
"REVENTIN",1995,60
"REVENTIN",1996,100
"REVENTIN",1997,45.5
"REVENTIN",1998,46.5
"REVENTIN",1999,10
"REVENTIN",2000,69.2
"REVENTIN",2001,54.5
"REVENTIN",2002,57
"REVENTIN",2003,30
"REVENTIN",2004,65
"REVENTIN",2005,57.6
"REVENTIN",2006,85.1
"REVENTIN",2007,65
"REVENTIN",2008,54.4
"REVENTIN",2009,61.3
"REVENTIN",2010,47.4
"REVENTIN",2011,45.6
"REVENTIN",2012,61.1
"REVENTIN",2013,55
"REVENTIN",2014,80.4
"REVENTIN",2015,65.9
"REVENTIN",2016,34.6
"REVENTIN",2017,48.9
"REVENTIN",2018,49.4
"REVENTIN",2019,54.8
"REVENTIN",2020,65.3
"REVENTIN",2021,116.9
"REVENTIN",2022,26.9
"CHASSE",1950,NA
"CHASSE",1951,NA
"CHASSE",1952,NA
"CHASSE",1953,NA
"CHASSE",1954,NA
"CHASSE",1955,NA
"CHASSE",1956,NA
"CHASSE",1957,NA
"CHASSE",1958,NA
"CHASSE",1959,NA
"CHASSE",1960,NA
"CHASSE",1961,NA
"CHASSE",1962,NA
"CHASSE",1963,NA
"CHASSE",1964,NA
"CHASSE",1965,NA
"CHASSE",1966,NA
"CHASSE",1967,NA
"CHASSE",1968,NA
"CHASSE",1969,NA
"CHASSE",1970,NA
"CHASSE",1971,NA
"CHASSE",1972,NA
"CHASSE",1973,NA
"CHASSE",1974,NA
"CHASSE",1975,55.6
"CHASSE",1976,52.7
"CHASSE",1977,74.9
"CHASSE",1978,43.7
"CHASSE",1979,66.5
"CHASSE",1980,70.7
"CHASSE",1981,82.2
"CHASSE",1982,85.5
"CHASSE",1983,46.5
"CHASSE",1984,44.9
"CHASSE",1985,51.5
"CHASSE",1986,42.4
"CHASSE",1987,48
"CHASSE",1988,91
"CHASSE",1989,66.5
"CHASSE",1990,41
"CHASSE",1991,76.4
"CHASSE",1992,55
"CHASSE",1993,100.6
"CHASSE",1994,73.9
"CHASSE",1995,60.5
"CHASSE",1996,97.3
"CHASSE",1997,69.5
"CHASSE",1998,47.2
"CHASSE",1999,78.2
"CHASSE",2000,78
"CHASSE",2001,39
"CHASSE",2002,57
"CHASSE",2003,62
"CHASSE",2004,85
"CHASSE",2005,64
"CHASSE",2006,69
"CHASSE",2007,65
"CHASSE",2008,104
"CHASSE",2009,64
"CHASSE",2010,51.2
"CHASSE",2011,57
"CHASSE",2012,66.8
"CHASSE",2013,58.6
"CHASSE",2014,87.8
"CHASSE",2015,55.2
"CHASSE",2016,52
"CHASSE",2017,44
"CHASSE",2018,58
"CHASSE",2019,47.5
"CHASSE",2020,56.7
"CHASSE",2021,NA
"CHASSE",2022,NA
"LEYRIEU BOURG",1950,NA
"LEYRIEU BOURG",1951,NA
"LEYRIEU BOURG",1952,NA
"LEYRIEU BOURG",1953,NA
"LEYRIEU BOURG",1954,NA
"LEYRIEU BOURG",1955,NA
"LEYRIEU BOURG",1956,76.9
"LEYRIEU BOURG",1957,80.4
"LEYRIEU BOURG",1958,56.5
"LEYRIEU BOURG",1959,62.7
"LEYRIEU BOURG",1960,56
"LEYRIEU BOURG",1961,45.4
"LEYRIEU BOURG",1962,49.7
"LEYRIEU BOURG",1963,50.7
"LEYRIEU BOURG",1964,30.4
"LEYRIEU BOURG",1965,49.9
"LEYRIEU BOURG",1966,39.7
"LEYRIEU BOURG",1967,59.9
"LEYRIEU BOURG",1968,60
"LEYRIEU BOURG",1969,32.5
"LEYRIEU BOURG",1970,103.9
"LEYRIEU BOURG",1971,78.6
"LEYRIEU BOURG",1972,50.3
"LEYRIEU BOURG",1973,45.7
"LEYRIEU BOURG",1974,39.4
"LEYRIEU BOURG",1975,51
"LEYRIEU BOURG",1976,78.3
"LEYRIEU BOURG",1977,44.8
"LEYRIEU BOURG",1978,63
"LEYRIEU BOURG",1979,47
"LEYRIEU BOURG",1980,73
"LEYRIEU BOURG",1981,94.2
"LEYRIEU BOURG",1982,51
"LEYRIEU BOURG",1983,53
"LEYRIEU BOURG",1984,35
"LEYRIEU BOURG",1985,56
"LEYRIEU BOURG",1986,68
"LEYRIEU BOURG",1987,32
"LEYRIEU BOURG",1988,90.2
"LEYRIEU BOURG",1989,73.2
"LEYRIEU BOURG",1990,45.4
"LEYRIEU BOURG",1991,100
"LEYRIEU BOURG",1992,61.2
"LEYRIEU BOURG",1993,68.2
"LEYRIEU BOURG",1994,62.4
"LEYRIEU BOURG",1995,87
"LEYRIEU BOURG",1996,58
"LEYRIEU BOURG",1997,65.2
"LEYRIEU BOURG",1998,61.2
"LEYRIEU BOURG",1999,60.4
"LEYRIEU BOURG",2000,56.4
"LEYRIEU BOURG",2001,37.4
"LEYRIEU BOURG",2002,48.4
"LEYRIEU BOURG",2003,43
"LEYRIEU BOURG",2004,78
"LEYRIEU BOURG",2005,39
"LEYRIEU BOURG",2006,36.2
"LEYRIEU BOURG",2007,41.2
"LEYRIEU BOURG",2008,78.2
"LEYRIEU BOURG",2009,50
"LEYRIEU BOURG",2010,43
"LEYRIEU BOURG",2011,48.2
"LEYRIEU BOURG",2012,76
"LEYRIEU BOURG",2013,20
"LEYRIEU BOURG",2014,NA
"LEYRIEU BOURG",2015,NA
"LEYRIEU BOURG",2016,NA
"LEYRIEU BOURG",2017,NA
"LEYRIEU BOURG",2018,NA
"LEYRIEU BOURG",2019,NA
"LEYRIEU BOURG",2020,NA
"LEYRIEU BOURG",2021,NA
"LEYRIEU BOURG",2022,NA
"CESSIEU",1950,122.5
"CESSIEU",1951,66.7
"CESSIEU",1952,54.6
"CESSIEU",1953,67.7
"CESSIEU",1954,78.5
"CESSIEU",1955,65.9
"CESSIEU",1956,69.5
"CESSIEU",1957,NA
"CESSIEU",1958,74
"CESSIEU",1959,52.3
"CESSIEU",1960,64.4
"CESSIEU",1961,80
"CESSIEU",1962,43.4
"CESSIEU",1963,61.7
"CESSIEU",1964,35.8
"CESSIEU",1965,64.2
"CESSIEU",1966,46.3
"CESSIEU",1967,57
"CESSIEU",1968,64
"CESSIEU",1969,54.9
"CESSIEU",1970,49.4
"CESSIEU",1971,68.5
"CESSIEU",1972,32.7
"CESSIEU",1973,45.5
"CESSIEU",1974,41.7
"CESSIEU",1975,64.8
"CESSIEU",1976,80.1
"CESSIEU",1977,43.3
"CESSIEU",1978,55.8
"CESSIEU",1979,53.6
"CESSIEU",1980,60.6
"CESSIEU",1981,47.9
"CESSIEU",1982,52.2
"CESSIEU",1983,75.8
"CESSIEU",1984,37.7
"CESSIEU",1985,45.4
"CESSIEU",1986,70.8
"CESSIEU",1987,60.4
"CESSIEU",1988,107.8
"CESSIEU",1989,58.5
"CESSIEU",1990,46.2
"CESSIEU",1991,85
"CESSIEU",1992,42
"CESSIEU",1993,75.5
"CESSIEU",1994,52
"CESSIEU",1995,94
"CESSIEU",1996,58
"CESSIEU",1997,88
"CESSIEU",1998,45
"CESSIEU",1999,140
"CESSIEU",2000,39
"CESSIEU",2001,39
"CESSIEU",2002,52
"CESSIEU",2003,52
"CESSIEU",2004,74
"CESSIEU",2005,50
"CESSIEU",2006,43
"CESSIEU",2007,45
"CESSIEU",2008,63
"CESSIEU",2009,35
"CESSIEU",2010,44
"CESSIEU",2011,43
"CESSIEU",2012,70
"CESSIEU",2013,NA
"CESSIEU",2014,NA
"CESSIEU",2015,NA
"CESSIEU",2016,NA
"CESSIEU",2017,NA
"CESSIEU",2018,NA
"CESSIEU",2019,NA
"CESSIEU",2020,NA
"CESSIEU",2021,NA
"CESSIEU",2022,NA
"PONT-DE-BEAUVOISIN-TABACS",1950,101
"PONT-DE-BEAUVOISIN-TABACS",1951,47
"PONT-DE-BEAUVOISIN-TABACS",1952,51
"PONT-DE-BEAUVOISIN-TABACS",1953,80
"PONT-DE-BEAUVOISIN-TABACS",1954,NA
"PONT-DE-BEAUVOISIN-TABACS",1955,NA
"PONT-DE-BEAUVOISIN-TABACS",1956,NA
"PONT-DE-BEAUVOISIN-TABACS",1957,NA
"PONT-DE-BEAUVOISIN-TABACS",1958,85
"PONT-DE-BEAUVOISIN-TABACS",1959,68
"PONT-DE-BEAUVOISIN-TABACS",1960,74
"PONT-DE-BEAUVOISIN-TABACS",1961,94
"PONT-DE-BEAUVOISIN-TABACS",1962,55
"PONT-DE-BEAUVOISIN-TABACS",1963,45
"PONT-DE-BEAUVOISIN-TABACS",1964,42
"PONT-DE-BEAUVOISIN-TABACS",1965,43
"PONT-DE-BEAUVOISIN-TABACS",1966,42
"PONT-DE-BEAUVOISIN-TABACS",1967,58.5
"PONT-DE-BEAUVOISIN-TABACS",1968,56
"PONT-DE-BEAUVOISIN-TABACS",1969,59.8
"PONT-DE-BEAUVOISIN-TABACS",1970,53
"PONT-DE-BEAUVOISIN-TABACS",1971,62
"PONT-DE-BEAUVOISIN-TABACS",1972,37
"PONT-DE-BEAUVOISIN-TABACS",1973,50
"PONT-DE-BEAUVOISIN-TABACS",1974,43
"PONT-DE-BEAUVOISIN-TABACS",1975,80
"PONT-DE-BEAUVOISIN-TABACS",1976,45
"PONT-DE-BEAUVOISIN-TABACS",1977,47
"PONT-DE-BEAUVOISIN-TABACS",1978,95
"PONT-DE-BEAUVOISIN-TABACS",1979,51
"PONT-DE-BEAUVOISIN-TABACS",1980,70
"PONT-DE-BEAUVOISIN-TABACS",1981,57
"PONT-DE-BEAUVOISIN-TABACS",1982,46
"PONT-DE-BEAUVOISIN-TABACS",1983,74
"PONT-DE-BEAUVOISIN-TABACS",1984,50
"PONT-DE-BEAUVOISIN-TABACS",1985,44
"PONT-DE-BEAUVOISIN-TABACS",1986,46
"PONT-DE-BEAUVOISIN-TABACS",1987,80.4
"PONT-DE-BEAUVOISIN-TABACS",1988,81
"PONT-DE-BEAUVOISIN-TABACS",1989,45
"PONT-DE-BEAUVOISIN-TABACS",1990,62.2
"PONT-DE-BEAUVOISIN-TABACS",1991,90.2
"PONT-DE-BEAUVOISIN-TABACS",1992,51.5
"PONT-DE-BEAUVOISIN-TABACS",1993,63
"PONT-DE-BEAUVOISIN-TABACS",1994,44.5
"PONT-DE-BEAUVOISIN-TABACS",1995,85
"PONT-DE-BEAUVOISIN-TABACS",1996,58.3
"PONT-DE-BEAUVOISIN-TABACS",1997,51.5
"PONT-DE-BEAUVOISIN-TABACS",1998,60
"PONT-DE-BEAUVOISIN-TABACS",1999,133.1
"PONT-DE-BEAUVOISIN-TABACS",2000,57.4
"PONT-DE-BEAUVOISIN-TABACS",2001,56
"PONT-DE-BEAUVOISIN-TABACS",2002,130.3
"PONT-DE-BEAUVOISIN-TABACS",2003,45
"PONT-DE-BEAUVOISIN-TABACS",2004,64
"PONT-DE-BEAUVOISIN-TABACS",2005,54.9
"PONT-DE-BEAUVOISIN-TABACS",2006,33.4
"PONT-DE-BEAUVOISIN-TABACS",2007,47.4
"PONT-DE-BEAUVOISIN-TABACS",2008,65.2
"PONT-DE-BEAUVOISIN-TABACS",2009,38.1
"PONT-DE-BEAUVOISIN-TABACS",2010,59.6
"PONT-DE-BEAUVOISIN-TABACS",2011,62.1
"PONT-DE-BEAUVOISIN-TABACS",2012,59.5
"PONT-DE-BEAUVOISIN-TABACS",2013,68.5
"PONT-DE-BEAUVOISIN-TABACS",2014,55.2
"PONT-DE-BEAUVOISIN-TABACS",2015,58.2
"PONT-DE-BEAUVOISIN-TABACS",2016,52
"PONT-DE-BEAUVOISIN-TABACS",2017,91.2
"PONT-DE-BEAUVOISIN-TABACS",2018,54.7
"PONT-DE-BEAUVOISIN-TABACS",2019,51.7
"PONT-DE-BEAUVOISIN-TABACS",2020,65.8
"PONT-DE-BEAUVOISIN-TABACS",2021,55.3
"PONT-DE-BEAUVOISIN-TABACS",2022,41.7
"ST-GEOIRE-EN-VALDAINE",1950,59
"ST-GEOIRE-EN-VALDAINE",1951,58.1
"ST-GEOIRE-EN-VALDAINE",1952,46.8
