"V1","V2","V3"
"Prapoutel Pipay","1950","-Inf"
"Prapoutel Pipay","1951","-Inf"
"Prapoutel Pipay","1952","-Inf"
"Prapoutel Pipay","1953","-Inf"
"Prapoutel Pipay","1954","-Inf"
"Prapoutel Pipay","1955","-Inf"
"Prapoutel Pipay","1956","-Inf"
"Prapoutel Pipay","1957","-Inf"
"Prapoutel Pipay","1958","-Inf"
"Prapoutel Pipay","1959","-Inf"
"Prapoutel Pipay","1960","-Inf"
"Prapoutel Pipay","1961","-Inf"
"Prapoutel Pipay","1962","-Inf"
"Prapoutel Pipay","1963","-Inf"
"Prapoutel Pipay","1964","-Inf"
"Prapoutel Pipay","1965","-Inf"
"Prapoutel Pipay","1966","-Inf"
"Prapoutel Pipay","1967","-Inf"
"Prapoutel Pipay","1968","-Inf"
"Prapoutel Pipay","1969","-Inf"
"Prapoutel Pipay","1970","-Inf"
"Prapoutel Pipay","1971","-Inf"
"Prapoutel Pipay","1972","55"
"Prapoutel Pipay","1973","25"
"Prapoutel Pipay","1974","30"
"Prapoutel Pipay","1975","37"
"Prapoutel Pipay","1976","24"
"Prapoutel Pipay","1977","9"
"Prapoutel Pipay","1978","62"
"Prapoutel Pipay","1979","24"
"Prapoutel Pipay","1980","26"
"Prapoutel Pipay","1981","32"
"Prapoutel Pipay","1982","33"
"Prapoutel Pipay","1983","38"
"Prapoutel Pipay","1984","0"
"Prapoutel Pipay","1985","40"
"Prapoutel Pipay","1986","33"
"Prapoutel Pipay","1987","39"
"Prapoutel Pipay","1988","39"
"Prapoutel Pipay","1989","25"
"Prapoutel Pipay","1990","-Inf"
"Prapoutel Pipay","1991","6"
"Prapoutel Pipay","1992","-Inf"
"Prapoutel Pipay","1993","44"
"Prapoutel Pipay","1994","32"
"Prapoutel Pipay","1995","-Inf"
"Prapoutel Pipay","1996","-Inf"
"Prapoutel Pipay","1997","-Inf"
"Prapoutel Pipay","1998","-Inf"
"Prapoutel Pipay","1999","-Inf"
"Prapoutel Pipay","2000","-Inf"
"Prapoutel Pipay","2001","-Inf"
"Prapoutel Pipay","2002","-Inf"
"Prapoutel Pipay","2003","-Inf"
"Prapoutel Pipay","2004","-Inf"
"Prapoutel Pipay","2005","-Inf"
"Prapoutel Pipay","2006","-Inf"
"Prapoutel Pipay","2007","-Inf"
"Prapoutel Pipay","2008","-Inf"
"Prapoutel Pipay","2009","-Inf"
"Prapoutel Pipay","2010","-Inf"
"Prapoutel Pipay","2011","-Inf"
"Prapoutel Pipay","2012","-Inf"
"Prapoutel Pipay","2013","-Inf"
"Prapoutel Pipay","2014","-Inf"
"Prapoutel Pipay","2015","-Inf"
"Prapoutel Pipay","2016","-Inf"
"Prapoutel Pipay","2017","-Inf"
"Prapoutel Pipay","2018","-Inf"
"Prapoutel Pipay","2019","-Inf"
"Prapoutel Pipay","2020","-Inf"
"Prapoutel Pipay","2021","-Inf"
"Prapoutel Pipay","2022","-Inf"
